opportunity_id,opportunity_name,stage,deal_value,sales_rep,account_type,partner_involved,product_category,competitor,next_step_defined,created_date,last_interaction_date,expected_close_date,pipeline_age_days,days_since_last_interaction,size_bucket,forecast_month,stale_opportunity
1024,Opportunity 24,Discover,2795246,Dexter W,Existing,No,Electronics,Fan D,No,2025-02-27,2025-03-03,2025-04-10,216,212,1M-5M,2025-04,True
1025,Opportunity 25,Commit,19545586,Dexter W,New,Yes,Software,Fan D,No,2025-03-27,2025-03-31,2025-09-05,188,184,5M-100M,2025-09,True
1026,Opportunity 26,Select,22976418,Macon K,New,Yes,Software,Fan E,No,2025-02-24,2025-04-07,2025-05-14,219,177,5M-100M,2025-05,True
1027,Opportunity 27,Decide,8200850,Xena J,New,Yes,Software,Fan C,No,2025-07-20,2025-07-29,2025-09-10,73,64,5M-100M,2025-09,True
1028,Opportunity 28,Mutual Interest,4007382,Evangeline N,New,Yes,Software,Fan E,No,2025-05-02,2025-06-22,2025-09-30,152,101,1M-5M,2025-09,True
1029,Opportunity 29,Mutual Interest,123195022,Maya Z,New,Yes,Software,Fan B,No,2025-04-18,2025-05-05,2025-09-14,166,149,100M+,2025-09,True
1030,Opportunity 30,Validate,13364081,Macon K,New,No,Electronics,Fan A,No,2025-05-12,2025-05-29,2025-09-06,142,125,5M-100M,2025-09,True
1031,Opportunity 31,Validate,1926310,Dexter W,Existing,No,Software,Fan B,No,2025-07-17,2025-08-06,2025-12-05,76,56,1M-5M,2025-12,True
1032,Opportunity 32,Discover,48489049,Damon S,New,Yes,Software,Fan E,No,2025-02-16,2025-03-02,2025-07-06,227,213,5M-100M,2025-07,True
1033,Opportunity 33,Decide,3182158,Evangeline N,New,Yes,Software,Fan E,No,2025-08-16,2025-09-07,2025-11-25,46,24,1M-5M,2025-11,False
1034,Opportunity 34,Decide,238589249,Maya Z,New,No,Software,Fan E,No,2025-09-02,2025-10-24,2025-11-27,29,-23,100M+,2025-11,False
1035,Opportunity 35,Commit,9777451,Ulysses H,New,Yes,Software,Fan E,No,2025-07-22,2025-08-18,2025-08-21,71,44,5M-100M,2025-08,True
1036,Opportunity 36,Commit,29978147,Ulysses H,New,Yes,Software,Fan D,No,2025-09-18,2025-10-31,2026-02-07,13,-30,5M-100M,2026-02,False
1037,Opportunity 37,Commit,732324,Evangeline N,New,No,Software,Fan A,No,2025-06-27,2025-06-30,2025-09-26,96,93,500K-1M,2025-09,True
1038,Opportunity 38,Validate,1903168,Macon K,New,No,Software,Fan D,No,2025-01-24,2025-04-22,2025-04-10,250,162,1M-5M,2025-04,True
1039,Opportunity 39,Decide,44040998,Reece P,New,No,Software,Fan E,No,2025-06-24,2025-07-02,2025-10-09,99,91,5M-100M,2025-10,True
1040,Opportunity 40,Decide,13011941,Reece P,New,No,Software,Fan C,No,2025-09-18,2025-12-13,2026-01-31,13,-73,5M-100M,2026-01,False
1041,Opportunity 41,Mutual Interest,103065545,Damon S,New,No,Software,Fan D,No,2025-01-01,2025-03-31,2025-06-05,273,184,100M+,2025-06,True
1042,Opportunity 42,Validate,15906050,Maya Z,New,Yes,Electronics,Fan E,No,2025-03-27,2025-04-06,2025-04-30,188,178,5M-100M,2025-04,True
1043,Opportunity 43,Select,10578725,Maya Z,New,Yes,Software,Fan E,No,2025-03-10,2025-04-08,2025-05-09,205,176,5M-100M,2025-05,True
1044,Opportunity 44,Validate,69461888,Evangeline N,New,Yes,Electronics,Fan A,Yes,2025-01-31,2025-03-12,2025-04-07,243,203,5M-100M,2025-04,True
1045,Opportunity 45,Select,29864002,Avram H,Existing,Yes,Software,Fan B,No,2025-07-17,2025-09-20,2025-11-02,76,11,5M-100M,2025-11,False
1046,Opportunity 46,Mutual Interest,7021493,Ulysses H,New,Yes,Electronics,Fan D,No,2025-04-01,2025-04-22,2025-09-20,183,162,5M-100M,2025-09,True
1047,Opportunity 47,Discover,2390648,Maya Z,New,Yes,Electronics,Fan D,No,2025-01-16,2025-02-09,2025-04-07,258,234,1M-5M,2025-04,True
1048,Opportunity 48,Decide,516102,Evangeline N,New,Yes,Software,Fan D,No,2025-06-11,2025-08-23,2025-11-26,112,39,500K-1M,2025-11,True
1049,Opportunity 49,Mutual Interest,5255581,Hayden E,Existing,Yes,Software,Fan E,No,2025-07-11,2025-09-09,2025-09-21,82,22,5M-100M,2025-09,False
1050,Opportunity 50,Decide,2140174,Xena J,Existing,Yes,Software,Fan A,No,2025-05-31,2025-06-26,2025-08-08,123,97,1M-5M,2025-08,True
1051,Opportunity 51,Commit,200684698,Hayden E,Existing,Yes,Electronics,Fan E,No,2025-04-23,2025-05-02,2025-07-24,161,152,100M+,2025-07,True
1052,Opportunity 52,Discover,4071633,Howard W,Existing,Yes,Software,Fan E,No,2025-06-25,2025-07-15,2025-12-01,98,78,1M-5M,2025-12,True
1053,Opportunity 53,Discover,3940228,Macon K,New,No,Software,Fan C,No,2025-05-29,2025-07-24,2025-09-22,125,69,1M-5M,2025-09,True
1054,Opportunity 54,Mutual Interest,1431890,Damon S,Existing,Yes,Software,Fan A,No,2025-06-27,2025-08-02,2025-10-07,96,60,1M-5M,2025-10,True
1055,Opportunity 55,Discover,6455346,Maya Z,New,Yes,Electronics,Fan D,No,2025-08-11,2025-09-16,2025-12-22,51,15,5M-100M,2025-12,False
1056,Opportunity 56,Select,4003013,Howard W,New,No,Software,Fan B,Yes,2025-09-16,2025-11-28,2025-10-31,15,-58,1M-5M,2025-10,False
1057,Opportunity 57,Discover,71504812,Dexter W,New,Yes,Software,Fan D,No,2025-07-08,2025-07-30,2025-10-04,85,63,5M-100M,2025-10,True
1058,Opportunity 58,Decide,10877112,Howard W,New,Yes,Software,Fan E,No,2025-03-31,2025-04-01,2025-06-15,184,183,5M-100M,2025-06,True
1059,Opportunity 59,Decide,8792091,Evangeline N,Existing,Yes,Software,Fan A,No,2025-09-19,2025-11-27,2026-02-11,12,-57,5M-100M,2026-02,False
1060,Opportunity 60,Decide,7560082,Maya Z,New,Yes,Software,Fan A,No,2025-06-05,2025-08-17,2025-10-21,118,45,5M-100M,2025-10,True
1061,Opportunity 61,Decide,22825979,Xena J,Existing,No,Software,Fan A,No,2025-07-19,2025-08-25,2025-08-26,74,37,5M-100M,2025-08,True
1062,Opportunity 62,Select,5163918,Macon K,New,Yes,Software,Fan C,Yes,2025-02-24,2025-05-18,2025-05-29,219,136,5M-100M,2025-05,True
1063,Opportunity 63,Validate,19789208,Evangeline N,New,Yes,Electronics,Fan D,No,2025-09-11,2025-11-22,2025-12-08,20,-52,5M-100M,2025-12,False
1064,Opportunity 64,Commit,61636438,Evangeline N,New,Yes,Software,Fan C,No,2025-06-22,2025-07-05,2025-10-31,101,88,5M-100M,2025-10,True
1065,Opportunity 65,Mutual Interest,15434101,Damon S,New,Yes,Software,Fan B,No,2025-07-19,2025-10-11,2025-12-31,74,-10,5M-100M,2025-12,False
1066,Opportunity 66,Decide,6585115,Damon S,Existing,Yes,Software,Fan E,No,2025-04-12,2025-05-25,2025-09-11,172,129,5M-100M,2025-09,True
1067,Opportunity 67,Discover,2830174,Ulysses H,New,Yes,Software,Fan C,Yes,2025-05-31,2025-07-07,2025-11-22,123,86,1M-5M,2025-11,True
1068,Opportunity 68,Decide,6387485,Ulysses H,New,Yes,Software,Fan C,Yes,2025-04-21,2025-07-04,2025-08-19,163,89,5M-100M,2025-08,True
1069,Opportunity 69,Discover,17464741,Reece P,Existing,Yes,Software,Fan E,No,2025-09-23,2025-10-18,2026-01-26,8,-17,5M-100M,2026-01,False
1070,Opportunity 70,Commit,1412634,Avram H,New,Yes,Software,Fan A,No,2025-04-01,2025-06-28,2025-06-27,183,95,1M-5M,2025-06,True
1071,Opportunity 71,Commit,24103106,Maya Z,Existing,Yes,Software,Fan E,No,2025-06-26,2025-07-17,2025-08-26,97,76,5M-100M,2025-08,True
1072,Opportunity 72,Commit,11400128,Maya Z,New,Yes,Software,Fan D,No,2025-08-19,2025-09-29,2025-11-04,43,2,5M-100M,2025-11,False
1073,Opportunity 73,Discover,7429528,Dieter C,New,No,Electronics,Fan E,No,2025-01-29,2025-04-12,2025-04-13,245,172,5M-100M,2025-04,True
1074,Opportunity 74,Decide,4027691,Howard W,New,Yes,Software,Fan A,No,2025-07-14,2025-08-25,2025-11-20,79,37,1M-5M,2025-11,True
1075,Opportunity 75,Commit,5017020,Maya Z,New,Yes,Electronics,Fan E,Yes,2025-08-27,2025-10-08,2026-01-03,35,-7,5M-100M,2026-01,False
1076,Opportunity 76,Select,18196999,Maya Z,New,Yes,Software,Fan C,No,2025-09-24,2025-09-26,2025-12-08,7,5,5M-100M,2025-12,False
1077,Opportunity 77,Discover,7618927,Avram H,Existing,Yes,Software,Fan B,No,2025-08-02,2025-10-09,2026-01-22,60,-8,5M-100M,2026-01,False
1078,Opportunity 78,Discover,4870134,Dexter W,Existing,No,Software,Fan C,Yes,2025-03-23,2025-03-31,2025-08-25,192,184,1M-5M,2025-08,True
1079,Opportunity 79,Decide,15592119,Ulysses H,Existing,Yes,Electronics,Fan B,Yes,2025-05-08,2025-07-08,2025-07-22,146,85,5M-100M,2025-07,True
1080,Opportunity 80,Discover,16351459,Ulysses H,New,No,Software,Fan E,No,2025-09-19,2025-10-03,2026-02-16,12,-2,5M-100M,2026-02,False
1081,Opportunity 81,Discover,1984723,Xena J,New,Yes,Software,Fan D,No,2025-03-08,2025-05-24,2025-07-03,207,130,1M-5M,2025-07,True
1082,Opportunity 82,Commit,17641715,Maya Z,New,No,Software,Fan E,No,2025-03-03,2025-03-24,2025-06-01,212,191,5M-100M,2025-06,True
1083,Opportunity 83,Decide,178846392,Avram H,New,Yes,Software,Fan A,No,2025-05-13,2025-06-06,2025-07-27,141,117,100M+,2025-07,True
1084,Opportunity 84,Commit,15611914,Macon K,Existing,No,Software,Fan E,No,2025-05-17,2025-07-06,2025-09-04,137,87,5M-100M,2025-09,True
1085,Opportunity 85,Commit,1156826,Ulysses H,New,Yes,Software,Fan B,No,2025-01-28,2025-04-20,2025-04-12,246,164,1M-5M,2025-04,True
1086,Opportunity 86,Decide,10993892,Avram H,New,Yes,Software,Fan C,Yes,2025-07-30,2025-09-13,2025-12-24,63,18,5M-100M,2025-12,False
1087,Opportunity 87,Mutual Interest,987588,Hayden E,New,Yes,Electronics,Fan D,No,2025-07-24,2025-09-26,2025-10-08,69,5,500K-1M,2025-10,False
1088,Opportunity 88,Commit,397555858,Dexter W,Existing,Yes,Software,Fan E,No,2025-09-10,2025-11-13,2025-11-01,21,-43,100M+,2025-11,False
1089,Opportunity 89,Select,129969403,Maya Z,New,No,Software,Fan E,Yes,2025-02-07,2025-03-05,2025-05-08,236,210,100M+,2025-05,True
1090,Opportunity 90,Select,3996277,Xena J,New,Yes,Software,Fan C,No,2025-02-12,2025-03-16,2025-03-26,231,199,1M-5M,2025-03,True
1091,Opportunity 91,Discover,600308,Howard W,New,Yes,Electronics,Fan D,No,2025-04-27,2025-06-23,2025-06-02,157,100,500K-1M,2025-06,True
1092,Opportunity 92,Select,3097031,Ulysses H,New,Yes,Electronics,Fan E,No,2025-07-09,2025-08-31,2025-12-26,84,31,1M-5M,2025-12,True
1093,Opportunity 93,Discover,7151345,Hayden E,New,Yes,Electronics,Fan E,No,2025-02-15,2025-03-20,2025-04-13,228,195,5M-100M,2025-04,True
1094,Opportunity 94,Mutual Interest,1072779,Macon K,New,Yes,Software,Fan B,No,2025-06-15,2025-08-06,2025-10-18,108,56,1M-5M,2025-10,True
1095,Opportunity 95,Decide,8179756,Avram H,Existing,Yes,Electronics,Fan B,No,2025-07-22,2025-08-09,2025-12-05,71,53,5M-100M,2025-12,True
1096,Opportunity 96,Decide,7095033,Damon S,New,Yes,Software,Fan A,No,2025-08-21,2025-09-25,2025-12-26,41,6,5M-100M,2025-12,False
1097,Opportunity 97,Decide,10326104,Evangeline N,Existing,No,Software,Fan C,No,2025-09-02,2025-09-14,2026-01-21,29,17,5M-100M,2026-01,False
1098,Opportunity 98,Select,11705556,Maya Z,Existing,Yes,Software,Fan D,No,2025-07-28,2025-09-17,2025-08-27,65,14,5M-100M,2025-08,False
1099,Opportunity 99,Mutual Interest,2789181,Maya Z,Existing,Yes,Software,Fan E,Yes,2025-09-05,2025-12-03,2025-11-16,26,-63,1M-5M,2025-11,False
1100,Opportunity 100,Select,3191185,Hayden E,New,No,Electronics,Fan E,No,2025-06-07,2025-06-17,2025-08-17,116,106,1M-5M,2025-08,True
1101,Opportunity 101,Select,9385819,Avram H,New,Yes,Software,Fan A,No,2025-01-01,2025-02-22,2025-05-05,273,221,5M-100M,2025-05,True
1102,Opportunity 102,Mutual Interest,4167427,Reece P,Existing,Yes,Software,Fan E,No,2025-08-05,2025-09-08,2026-01-10,57,23,1M-5M,2026-01,False
1103,Opportunity 103,Mutual Interest,26403145,Maya Z,Existing,Yes,Software,Fan C,No,2025-09-06,2025-11-12,2025-11-25,25,-42,5M-100M,2025-11,False
1104,Opportunity 104,Mutual Interest,9277228,Reece P,New,Yes,Software,Fan A,No,2025-03-10,2025-04-18,2025-08-30,205,166,5M-100M,2025-08,True
1105,Opportunity 105,Mutual Interest,83303729,Macon K,Existing,Yes,Software,Fan C,No,2025-01-30,2025-02-07,2025-03-15,244,236,5M-100M,2025-03,True
1106,Opportunity 106,Decide,23785314,Damon S,New,No,Software,Fan A,No,2025-04-25,2025-05-24,2025-09-26,159,130,5M-100M,2025-09,True
1107,Opportunity 107,Validate,33413034,Hayden E,New,Yes,Electronics,Fan E,No,2025-01-08,2025-01-30,2025-05-04,266,244,5M-100M,2025-05,True
1108,Opportunity 108,Validate,10418350,Avram H,New,Yes,Software,Fan A,No,2025-02-05,2025-04-30,2025-04-28,238,154,5M-100M,2025-04,True
1109,Opportunity 109,Mutual Interest,10733001,Avram H,New,No,Software,Fan B,No,2025-02-13,2025-04-24,2025-08-06,230,160,5M-100M,2025-08,True
1110,Opportunity 110,Validate,70957005,Dieter C,New,No,Software,Fan D,No,2025-06-04,2025-08-04,2025-09-30,119,58,5M-100M,2025-09,True
1111,Opportunity 111,Validate,5643689,Macon K,Existing,Yes,Software,Fan E,No,2025-03-18,2025-04-30,2025-07-31,197,154,5M-100M,2025-07,True
1112,Opportunity 112,Mutual Interest,17126460,Macon K,New,Yes,Electronics,Fan D,No,2025-03-19,2025-05-07,2025-04-23,196,147,5M-100M,2025-04,True
1113,Opportunity 113,Validate,6455964,Dexter W,New,Yes,Software,Fan E,No,2025-04-11,2025-05-10,2025-06-10,173,144,5M-100M,2025-06,True
1114,Opportunity 114,Select,6437409,Evangeline N,New,No,Software,Fan D,No,2025-01-30,2025-04-21,2025-04-09,244,163,5M-100M,2025-04,True
1115,Opportunity 115,Discover,2185432,Ulysses H,New,No,Software,Fan B,No,2025-02-08,2025-03-11,2025-05-17,235,204,1M-5M,2025-05,True
1116,Opportunity 116,Discover,3645422,Ulysses H,New,Yes,Software,Fan D,No,2025-08-27,2025-10-19,2026-02-07,35,-18,1M-5M,2026-02,False
1117,Opportunity 117,Mutual Interest,2917030,Dieter C,Existing,Yes,Software,Fan A,No,2025-01-13,2025-02-16,2025-02-24,261,227,1M-5M,2025-02,True
1118,Opportunity 118,Decide,18132973,Howard W,Existing,Yes,Software,Fan D,No,2025-05-02,2025-06-09,2025-06-04,152,114,5M-100M,2025-06,True
1119,Opportunity 119,Mutual Interest,30961254,Xena J,Existing,No,Software,Fan E,No,2025-05-24,2025-07-20,2025-06-25,130,73,5M-100M,2025-06,True
1120,Opportunity 120,Decide,7931049,Hayden E,Existing,Yes,Software,Fan C,No,2025-06-21,2025-06-25,2025-12-07,102,98,5M-100M,2025-12,True
1121,Opportunity 121,Discover,11705314,Damon S,New,Yes,Software,Fan D,No,2025-09-04,2025-09-06,2025-12-07,27,25,5M-100M,2025-12,False
1122,Opportunity 122,Mutual Interest,7400324,Avram H,New,No,Software,Fan D,No,2025-09-04,2025-09-16,2025-10-30,27,15,5M-100M,2025-10,False
1123,Opportunity 123,Commit,3358714,Evangeline N,New,Yes,Software,Fan D,No,2025-02-14,2025-03-21,2025-06-30,229,194,1M-5M,2025-06,True
1124,Opportunity 124,Select,25008232,Reece P,New,Yes,Software,Fan E,Yes,2025-09-10,2025-11-19,2025-11-28,21,-49,5M-100M,2025-11,False
1125,Opportunity 125,Validate,19443854,Hayden E,Existing,Yes,Electronics,Fan D,No,2025-07-26,2025-10-06,2025-09-10,67,-5,5M-100M,2025-09,False
1126,Opportunity 126,Decide,917075,Howard W,New,Yes,Software,Fan E,No,2025-01-07,2025-01-28,2025-03-09,267,246,500K-1M,2025-03,True
1127,Opportunity 127,Commit,6326572,Hayden E,New,Yes,Software,Fan E,Yes,2025-08-30,2025-10-30,2025-10-15,32,-29,5M-100M,2025-10,False
1128,Opportunity 128,Validate,3083473,Howard W,Existing,Yes,Software,Fan C,No,2025-04-20,2025-05-25,2025-06-22,164,129,1M-5M,2025-06,True
1129,Opportunity 129,Validate,5558693,Avram H,Existing,Yes,Electronics,Fan A,No,2025-04-24,2025-06-11,2025-06-27,160,112,5M-100M,2025-06,True
1130,Opportunity 130,Mutual Interest,3974788,Xena J,Existing,No,Software,Fan E,Yes,2025-04-06,2025-04-21,2025-09-28,178,163,1M-5M,2025-09,True
1131,Opportunity 131,Validate,8404648,Howard W,New,Yes,Electronics,Fan B,No,2025-07-08,2025-09-17,2025-09-25,85,14,5M-100M,2025-09,False
1132,Opportunity 132,Select,5981023,Avram H,New,Yes,Software,Fan D,No,2025-06-03,2025-06-18,2025-10-13,120,105,5M-100M,2025-10,True
1133,Opportunity 133,Commit,5830604,Avram H,New,Yes,Electronics,Fan B,No,2025-02-27,2025-03-05,2025-04-30,216,210,5M-100M,2025-04,True
1134,Opportunity 134,Validate,33560693,Xena J,New,No,Electronics,Fan D,No,2025-02-19,2025-05-11,2025-06-17,224,143,5M-100M,2025-06,True
1135,Opportunity 135,Mutual Interest,17341523,Ulysses H,New,No,Software,Fan C,No,2025-07-26,2025-10-02,2025-12-31,67,-1,5M-100M,2025-12,False
1136,Opportunity 136,Select,3818340,Hayden E,New,Yes,Software,Fan E,No,2025-02-21,2025-03-15,2025-06-15,222,200,1M-5M,2025-06,True
1137,Opportunity 137,Discover,4562329,Dieter C,Existing,Yes,Software,Fan A,No,2025-05-30,2025-07-01,2025-08-26,124,92,1M-5M,2025-08,True
1138,Opportunity 138,Commit,16032871,Maya Z,New,Yes,Software,Fan E,No,2025-02-22,2025-03-16,2025-04-02,221,199,5M-100M,2025-04,True
1139,Opportunity 139,Validate,16006468,Maya Z,Existing,Yes,Software,Fan D,No,2025-08-01,2025-08-28,2025-10-26,61,34,5M-100M,2025-10,True
1140,Opportunity 140,Mutual Interest,4305757,Dieter C,Existing,Yes,Software,Fan A,Yes,2025-03-07,2025-03-22,2025-06-10,208,193,1M-5M,2025-06,True
1141,Opportunity 141,Discover,6710682,Reece P,New,No,Software,Fan E,No,2025-08-20,2025-10-03,2026-01-15,42,-2,5M-100M,2026-01,False
1142,Opportunity 142,Discover,81504374,Macon K,Existing,No,Software,Fan A,No,2025-05-31,2025-08-25,2025-10-19,123,37,5M-100M,2025-10,True
1143,Opportunity 143,Decide,4395721,Reece P,New,Yes,Software,Fan D,No,2025-07-24,2025-08-02,2025-09-06,69,60,1M-5M,2025-09,True
1144,Opportunity 144,Select,88010396,Macon K,New,No,Software,Fan C,No,2025-09-12,2025-10-16,2025-10-24,19,-15,5M-100M,2025-10,False
1145,Opportunity 145,Validate,33411153,Dieter C,Existing,No,Software,Fan C,No,2025-05-17,2025-07-29,2025-10-07,137,64,5M-100M,2025-10,True
1146,Opportunity 146,Mutual Interest,70456040,Maya Z,New,Yes,Electronics,Fan E,No,2025-05-15,2025-05-30,2025-10-09,139,124,5M-100M,2025-10,True
1147,Opportunity 147,Decide,4177040,Damon S,Existing,Yes,Software,Fan B,No,2025-02-23,2025-04-26,2025-08-13,220,158,1M-5M,2025-08,True
1148,Opportunity 148,Select,7258857,Maya Z,New,No,Software,Fan D,Yes,2025-03-06,2025-04-20,2025-07-27,209,164,5M-100M,2025-07,True
1149,Opportunity 149,Decide,5183564,Reece P,New,Yes,Software,Fan E,No,2025-01-02,2025-03-27,2025-03-06,272,188,5M-100M,2025-03,True
1150,Opportunity 150,Commit,34349699,Evangeline N,New,No,Software,Fan E,No,2025-05-12,2025-07-23,2025-09-19,142,70,5M-100M,2025-09,True
1151,Opportunity 151,Select,4496363,Dieter C,New,No,Software,Fan C,No,2025-02-01,2025-03-31,2025-03-27,242,184,1M-5M,2025-03,True
1152,Opportunity 152,Select,21369144,Reece P,New,Yes,Software,Fan A,No,2025-08-31,2025-09-19,2026-01-19,31,12,5M-100M,2026-01,False
1153,Opportunity 153,Validate,20054403,Damon S,Existing,No,Electronics,Fan D,No,2025-07-11,2025-07-27,2025-10-02,82,66,5M-100M,2025-10,True
1154,Opportunity 154,Select,8388435,Hayden E,Existing,No,Software,Fan A,No,2025-05-22,2025-08-05,2025-07-02,132,57,5M-100M,2025-07,True
1155,Opportunity 155,Decide,42219454,Macon K,Existing,Yes,Software,Fan D,No,2025-05-28,2025-06-05,2025-10-30,126,118,5M-100M,2025-10,True
1156,Opportunity 156,Select,10111822,Maya Z,New,Yes,Electronics,Fan B,No,2025-03-30,2025-05-02,2025-09-12,185,152,5M-100M,2025-09,True
1157,Opportunity 157,Validate,24176771,Xena J,Existing,Yes,Software,Fan C,No,2025-02-18,2025-05-03,2025-04-19,225,151,5M-100M,2025-04,True
1158,Opportunity 158,Validate,4907896,Evangeline N,Existing,Yes,Electronics,Fan B,No,2025-05-16,2025-06-03,2025-08-31,138,120,1M-5M,2025-08,True
1159,Opportunity 159,Commit,3729839,Avram H,Existing,Yes,Electronics,Fan E,No,2025-07-10,2025-08-14,2025-09-30,83,48,1M-5M,2025-09,True
1160,Opportunity 160,Decide,21367350,Damon S,New,Yes,Software,Fan C,No,2025-05-29,2025-07-11,2025-10-17,125,82,5M-100M,2025-10,True
1161,Opportunity 161,Discover,14902034,Reece P,Existing,Yes,Software,Fan E,No,2025-03-28,2025-05-17,2025-06-08,187,137,5M-100M,2025-06,True
1162,Opportunity 162,Discover,11899050,Macon K,Existing,Yes,Software,Fan B,No,2025-01-08,2025-01-11,2025-03-20,266,263,5M-100M,2025-03,True
1163,Opportunity 163,Select,5882979,Xena J,New,No,Software,Fan D,No,2025-08-11,2025-10-09,2026-01-11,51,-8,5M-100M,2026-01,False
1164,Opportunity 164,Commit,57027910,Howard W,Existing,No,Software,Fan E,No,2025-01-16,2025-02-13,2025-04-22,258,230,5M-100M,2025-04,True
1165,Opportunity 165,Mutual Interest,2327015,Ulysses H,New,No,Electronics,Fan A,No,2025-04-16,2025-06-01,2025-07-20,168,122,1M-5M,2025-07,True
1166,Opportunity 166,Select,2179025,Maya Z,New,Yes,Software,Fan D,No,2025-04-14,2025-06-17,2025-10-04,170,106,1M-5M,2025-10,True
1167,Opportunity 167,Commit,27524850,Ulysses H,New,No,Software,Fan D,No,2025-05-26,2025-08-04,2025-09-15,128,58,5M-100M,2025-09,True
1168,Opportunity 168,Decide,24943296,Damon S,New,No,Software,Fan B,No,2025-02-04,2025-03-23,2025-06-07,239,192,5M-100M,2025-06,True
1169,Opportunity 169,Decide,13585523,Howard W,New,Yes,Software,Fan B,No,2025-04-23,2025-05-07,2025-09-04,161,147,5M-100M,2025-09,True
1170,Opportunity 170,Decide,6289910,Howard W,Existing,Yes,Software,Fan C,Yes,2025-02-22,2025-03-01,2025-08-14,221,214,5M-100M,2025-08,True
1171,Opportunity 171,Decide,16238679,Howard W,New,Yes,Software,Fan C,No,2025-03-22,2025-06-04,2025-05-21,193,119,5M-100M,2025-05,True
1172,Opportunity 172,Decide,70069373,Avram H,Existing,No,Software,Fan A,Yes,2025-04-14,2025-07-02,2025-09-08,170,91,5M-100M,2025-09,True
